Pais,Ciudad,Mesa,EG,EG_UNTC,EG_MPV,EG_MUD,EG_VTV,NM,NM_PSUV,NM_PCV,NM_TUPAMARO,NM_PPT,NM_MSV,NM_PODEMOS,NM_MEP,NM_APC,NM_ORA,NM_UPV,NM_EV,NM_PVV,NM_PFV,NM_VTV,LM,LM_AD,LM_COPEI,LM_MR,LM_BR,LM_DDP,LM_UNE,LM_VTV,JABE,JABE_EL_CAMBIO,JOBR,JOBR_PV,JOBR_VU,JOBR_UVV,JOBR_MPJ,JOBR_VTV,AE,AE_AP,AE_MOVEV,AE_CMC,AE_FV,AE_LAPIZ,AE_MIN_UNIDAD,AE_VTV,CF,CF_SPV,DC,DC_VPA,DC_AREPA,EM,EM_CENTRADOS,BERA,BERA_CONDE,VOTOS_VALIDOS,VOTOS_NULOS
Panamá,Ciudad de Panamá,1,237,6,16,215,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,0
Panamá,Ciudad de Panamá,2,256,0,0,256,18,8,7,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,0
Panamá,Ciudad de Panamá,3,273,3,9,261,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,1
Panamá,Ciudad de Panamá,4,250,3,8,239,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,0
Perú,Lima,1,92,4,3,85,0,5,4,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,6
Perú,Lima,2,98,5,6,87,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,2
Portugal,Funchal,1,123,12,12,99,2,10,8,0,0,0,1,1,0,0,0,0,0,0,0,0,,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,151,4
Portugal,Funchal,2,127,11,14,102,0,10,9,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,3,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,157,2
Portugal,Lisboa,1,125,6,9,110,0,17,16,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,161,0
Republica Dominicana,Santo Domingo,1,114,5,9,100,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,132,2
Republica Dominicana,Santo Domingo,2,104,2,7,95,0,13,9,2,0,0,0,1,0,0,0,0,0,0,1,0,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,138,1
Suiza,Berna,1,110,3,7,100,0,16,13,1,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,148,0
Suiza,Berna,2,108,6,15,87,0,14,10,2,0,0,0,0,0,0,1,0,0,0,0,1,,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0
Trinidad y Tobago,Puerto España,1,110,9,12,89,0,10,7,0,0,1,1,0,0,0,0,0,0,0,1,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,133,0
Uruguay,Montevideo,1,114,5,3,106,0,22,18,3,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0
